,id_new,id,pt,geometry,all_tags
500,43.2521808_-79.9388098_ts2,43.252_-79.939_ts2,"(43.2521808, -79.9388098)","POLYGON((-79.9388098 43.2521808, -79.9388897 43.2521247, -79.9388569 43.2521143, -79.9387156 43.2521558, -79.9388098 43.2521808))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
501,45.7158183_9.6711478_ts2,45.716_9.671_ts2,"(45.7158183, 9.6711478)","POLYGON((9.6711478 45.7158183, 9.6711773 45.7158115, 9.6713296 45.7160765, 9.6713004 45.7160842, 9.6711478 45.7158183))","[{'key': 'amenity', 'value': 'parking'}]"
502,49.3267425_2.4660613_ts2,49.327_2.466_ts2,"(49.3267425, 2.4660613)","POLYGON((2.4660613 49.3267425, 2.4658512 49.3270072, 2.4657092 49.3269594, 2.4659191 49.3266946, 2.4660613 49.3267425))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'surface', 'value': 'asphalt'}]"
503,35.4784557_-97.5055708_ts2,35.478_-97.506_ts2,"(35.4784557, -97.5055708)","POLYGON((-97.5055708 35.4784557, -97.5055452 35.4784463, -97.5055286 35.4784297, -97.505512 35.4783859, -97.5054839 35.478363, -97.5054455 35.4783526, -97.5053701 35.4783506, -97.5052257 35.4783662, -97.5051349 35.4783797, -97.505057 35.4783963, -97.5049586 35.4784213, -97.5048218 35.4784692, -97.5046927 35.4785296, -97.5046058 35.4785826, -97.5044575 35.4787148, -97.5039167 35.4791148, -97.5038313 35.479178, -97.5040025 35.4793206, -97.5040971 35.4794028, -97.5041546 35.4794299, -97.504207 35.4794392, -97.5042607 35.4794319, -97.5042952 35.4794194, -97.5043387 35.4793851, -97.5043834 35.4793508, -97.5044243 35.4793851, -97.5049624 35.4789532, -97.5051209 35.4788814, -97.5052155 35.4788533, -97.5053036 35.4788356, -97.5053854 35.4788314, -97.5053803 35.4787679, -97.5054148 35.4787637, -97.5054521 35.4787414, -97.5054937 35.4786958, -97.5055822 35.4785751, -97.5056074 35.4785147, -97.5055708 35.4784557))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity:disabled', 'value': 'yes'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'paved'}]"
504,39.8172956_-86.1559692_ts2,39.817_-86.156_ts2,"(39.8172956, -86.1559692)","POLYGON((-86.1559692 39.8172956, -86.1559661 39.817206, -86.1556509 39.8172075, -86.1556542 39.8173001, -86.1556556 39.8173858, -86.1559721 39.8173791, -86.1559692 39.8172956))","[{'key': 'access', 'value': 'customers'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '20'}, {'key': 'fee', 'value': 'no'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
505,33.6697552_-116.1884447_ts2,33.67_-116.188_ts2,"(33.6697552, -116.1884447)","POLYGON((-116.1884447 33.6697552, -116.1888585 33.6697552, -116.1888585 33.6695812, -116.1884447 33.6695812, -116.1884447 33.6697552))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'surface', 'value': 'asphalt'}]"
506,33.6704796_-116.1875017_ts2,33.67_-116.188_ts2,"(33.6704796, -116.1875017)","POLYGON((-116.1875017 33.6704796, -116.1880319 33.6704788, -116.1880316 33.6703048, -116.1875014 33.6703056, -116.1875017 33.6704796))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'surface', 'value': 'asphalt'}]"
507,50.4805455_3.8555894_ts2,50.481_3.856_ts2,"(50.4805455, 3.8555894)","POLYGON((3.8555894 50.4805455, 3.8549135 50.48048, 3.8549347 50.4803915, 3.8549678 50.4802533, 3.855002 50.4801102, 3.8550394 50.4799539, 3.8550579 50.479877, 3.8555548 50.4799251, 3.8557337 50.4799425, 3.8555894 50.4805455))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '100'}, {'key': 'operator', 'value': 'AW Europe'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'grass_paver'}]"
508,35.8757619_-78.6418296_ts2,35.876_-78.642_ts2,"(35.8757619, -78.6418296)","POLYGON((-78.6418296 35.8757619, -78.6418305 35.875725, -78.6418703 35.8756468, -78.6418722 35.8755984, -78.6414745 35.8755693, -78.641466 35.8756153, -78.6414433 35.875623, -78.6413874 35.8756222, -78.6413694 35.8757335, -78.6418296 35.8757619))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
509,37.8918247_-122.51609_ts2,37.892_-122.516_ts2,"(37.8918247, -122.51609)","POLYGON((-122.51609 37.8918247, -122.5160839 37.8917165, -122.5159492 37.8917214, -122.5158296 37.8917258, -122.5158348 37.8918148, -122.51584 37.8919051, -122.5160853 37.8919129, -122.51609 37.8918247))","[{'key': 'access', 'value': 'customers'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'operator', 'value': ""Telford's Pipe & Cigar""}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}, {'key': 'wheelchair', 'value': 'yes'}]"
