,id_new,id,pt,geometry,all_tags
569,43.4358183_-112.122985_ts1,43.436_-112.123_ts1,"(43.4358183, -112.122985)","POLYGON((-112.122985 43.4358183, -112.1230293 43.435501, -112.1222082 43.4354963, -112.1219128 43.435483, -112.1219341 43.4351208, -112.1209665 43.4351054, -112.1209793 43.4354861, -112.1214226 43.4354799, -112.1214269 43.435582, -112.1211687 43.4357001, -112.1207293 43.4358678, -112.1216118 43.4369823, -112.122169 43.436778, -112.122286 43.436722, -112.122501 43.436596, -112.122758 43.436365, -112.122894 43.43618, -112.122948 43.436035, -112.122985 43.4358183))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}]"
570,29.3403797_-81.1350395_ts1,29.34_-81.135_ts1,"(29.3403797, -81.1350395)","POLYGON((-81.1350395 29.3403797, -81.1350609 29.3400744, -81.1347193 29.3398946, -81.1346315 29.3398328, -81.1344493 29.3396999, -81.1344788 29.3396648, -81.1343769 29.33959, -81.134324 29.339623, -81.1341671 29.3395162, -81.1334516 29.3402224, -81.1336128 29.3403666, -81.1334967 29.3405221, -81.1342208 29.3410709, -81.1346549 29.3409117, -81.1349879 29.340582, -81.1350395 29.3403797))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': ""Truck Parking for Love's/Arby's""}]"
571,45.8813105_3.5716225_ts1,45.881_3.572_ts1,"(45.8813105, 3.5716225)","POLYGON((3.5716225 45.8813105, 3.5718943 45.881461, 3.5715946 45.8815096, 3.5713253 45.8813355, 3.5716225 45.8813105))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '5'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'source', 'value': 'Orthophotographie CRAIG/TopoGEODIS 2009'}, {'key': 'surface', 'value': 'asphalt'}]"
572,45.4717332_3.2492157_ts2,45.472_3.249_ts2,"(45.4717332, 3.2492157)","POLYGON((3.2492157 45.4717332, 3.249562 45.4711091, 3.2496653 45.4712582, 3.2493129 45.4718909, 3.2492157 45.4717332))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '9'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
573,40.5637512_-105.0083062_ts2,40.564_-105.008_ts2,"(40.5637512, -105.0083062)","POLYGON((-105.0083062 40.5637512, -105.0086707 40.5636048, -105.0090727 40.5634563, -105.0088565 40.5631562, -105.0082868 40.5630383, -105.0081357 40.5630161, -105.0080373 40.5630119, -105.0079264 40.5630161, -105.0078211 40.5630298, -105.0077226 40.5630446, -105.0076312 40.5630646, -105.0075535 40.5630951, -105.0074773 40.5631394, -105.007383 40.5631994, -105.0072985 40.5632626, -105.0072375 40.5633163, -105.007164 40.5634058, -105.0071224 40.5634637, -105.0083062 40.5637512))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck/Bus/Camper'}, {'key': 'operator', 'value': 'CDOT'}, {'key': 'parking', 'value': 'surface'}]"
574,37.6799795_-106.5465399_ts2,37.68_-106.547_ts2,"(37.6799795, -106.5465399)","POLYGON((-106.5465399 37.6799795, -106.5466795 37.6797542, -106.5463376 37.6797112, -106.5462445 37.6797176, -106.5461461 37.6797454, -106.5456971 37.6799834, -106.5456108 37.6800398, -106.5457542 37.680034, -106.5459379 37.6800239, -106.546267 37.6800118, -106.5465399 37.6799795))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '9'}, {'key': 'fee', 'value': 'no'}, {'key': 'maxstay', 'value': '12 hr'}, {'key': 'name', 'value': 'Truck and RV Parking'}, {'key': 'operator:type', 'value': 'government'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
575,41.3363189_-83.6264091_ts2,41.336_-83.626_ts2,"(41.3363189, -83.6264091)","POLYGON((-83.6264091 41.3363189, -83.6267015 41.3360954, -83.6267618 41.3346544, -83.6267592 41.3345809, -83.6265768 41.3345789, -83.6265432 41.3346675, -83.6264668 41.3347299, -83.6263877 41.3347833, -83.6263609 41.3348306, -83.6263501 41.33489, -83.6263139 41.3363189, -83.6264091 41.3363189))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
576,40.9855019_-83.7116662_ts2,40.986_-83.712_ts2,"(40.9855019, -83.7116662)","POLYGON((-83.7116662 40.9855019, -83.7117226 40.9855667, -83.7121356 40.9855991, -83.7137771 40.9847001, -83.7132058 40.9846596, -83.7116662 40.9855019))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
577,42.7424167_-82.7203318_ts2,42.742_-82.72_ts2,"(42.7424167, -82.7203318)","POLYGON((-82.7203318 42.7424167, -82.7198678 42.742527, -82.7183175 42.7438271, -82.7183792 42.7438586, -82.7188647 42.7437503, -82.7189612 42.7436951, -82.7203855 42.7424975, -82.7203318 42.7424167))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
578,-37.6470238_144.9936619_ts2,-37.647_144.994_ts2,"(-37.6470238, 144.9936619)","POLYGON((144.9936619 -37.6470238, 144.9927501 -37.6469175, 144.9926687 -37.6469175, 144.9925873 -37.6469239, 144.9925181 -37.6469433, 144.9924367 -37.6469755, 144.9923757 -37.6470174, 144.9923268 -37.6470754, 144.9922169 -37.6475363, 144.9922373 -37.6476201, 144.9922739 -37.6476716, 144.9923431 -37.6477071, 144.992396 -37.6477651, 144.9923757 -37.6478231, 144.9922495 -37.6478779, 144.9921436 -37.6480326, 144.9926077 -37.6480874, 144.992799 -37.6479746, 144.9928244 -37.6479053, 144.9928722 -37.6477748, 144.9928437 -37.6473912, 144.9934667 -37.6471434, 144.9936293 -37.6470786, 144.9936619 -37.6470238))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'lit', 'value': 'yes'}, {'key': 'name', 'value': 'Truck / B Double Parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'concrete'}]"
579,45.8910956_4.8926255_ts2,45.891_4.893_ts2,"(45.8910956, 4.8926255)","POLYGON((4.8926255 45.8910956, 4.8923345 45.891091, 4.8924968 45.8909444, 4.8923627 45.890866, 4.892592 45.890669, 4.8925893 45.890571, 4.8928186 45.8903694, 4.8930386 45.890291, 4.8930934 45.8902008, 4.8932089 45.8901426, 4.8937373 45.8901472, 4.8926255 45.8910956))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '34'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
580,-37.7998414_144.7390991_ts2,-37.8_144.739_ts2,"(-37.7998414, 144.7390991)","POLYGON((144.7390991 -37.7998414, 144.7387477 -37.7998096, 144.7385492 -37.8011088, 144.7387504 -37.8012847, 144.7388926 -37.801291, 144.7390991 -37.7998414))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}]"
581,30.6982908_-81.6782956_ts2,30.698_-81.678_ts2,"(30.6982908, -81.6782956)","POLYGON((-81.6782956 30.6982908, -81.6793223 30.6977454, -81.6793682 30.6976716, -81.6793682 30.6975714, -81.6789484 30.696354, -81.6786174 30.6962486, -81.6785347 30.696267, -81.6788227 30.6971498, -81.6788902 30.6972341, -81.6790465 30.6973132, -81.6791844 30.6973817, -81.6792487 30.6975161, -81.6779861 30.6981775, -81.6779248 30.6982223, -81.6782022 30.6982882, -81.6782956 30.6982908))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}]"
582,43.344837_3.2870718_ts2,43.345_3.287_ts2,"(43.344837, 3.2870718)","POLYGON((3.2870718 43.344837, 3.2871509 43.3446478, 3.2873153 43.3445781, 3.2872321 43.3447794, 3.2870718 43.344837))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '3'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'truck'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
